regions,quintiles,income_distribution,time,mitigation_distribution,damage_distribution
USA,1,0.0682124288774193,1950,0.0682124288774193,0.40544894536122617
USA,2,0.11559148790907087,1950,0.11559148790907087,0.23926205855774774
USA,3,0.16288727291401178,1950,0.16288727291401178,0.16979016748274284
USA,4,0.23022284160176854,1950,0.23022284160176854,0.12012994521506612
USA,5,0.4230859686977295,1950,0.4230859686977295,0.06536888338321704
CAN,1,0.06314913904656833,1950,0.06314913904656833,0.41843511519133836
CAN,2,0.11030851819214915,1950,0.11030851819214915,0.2395446671231351
CAN,3,0.15872461667940224,1950,0.15872461667940224,0.1664758612998036
CAN,4,0.2291622445453858,1950,0.2291622445453858,0.11530615491921228
CAN,5,0.4386554815364945,1950,0.4386554815364945,0.0602382014665108
WEU,1,0.07697359814748504,1950,0.07697359814748504,0.38450697611940016
WEU,2,0.12419546663627294,1950,0.12419546663627294,0.2383089034271978
WEU,3,0.16924437651911303,1950,0.16924437651911303,0.17487662558393433
WEU,4,0.23119616920057817,1950,0.23119616920057817,0.1280163316159536
WEU,5,0.3983903894965508,1950,0.3983903894965508,0.07429116325351413
JPK,1,0.07105529169471318,1950,0.07105529169471318,0.3984531570546868
JPK,2,0.11845496805812979,1950,0.11845496805812979,0.2390123923490182
JPK,3,0.16506089288589598,1950,0.16506089288589598,0.17152582181154152
JPK,4,0.23064883340476616,1950,0.23064883340476616,0.12275026447463094
JPK,5,0.4147800139564949,1950,0.4147800139564949,0.06825836431012254
ANZ,1,0.07827252809020735,1950,0.07827252809020735,0.3815504713089787
ANZ,2,0.12541737626088695,1950,0.12541737626088695,0.2381242605589227
ANZ,3,0.17010493158924234,1950,0.17010493158924234,0.17556763172204579
ANZ,4,0.2312607333748971,1950,0.2312607333748971,0.12913960596566051
ANZ,5,0.39494443068476626,1950,0.39494443068476626,0.07561803044439243
EEU,1,0.09858904130920353,1950,0.09858904130920353,0.3394577040288325
EEU,2,0.1429504737510418,1950,0.1429504737510418,0.23411471628636035
EEU,3,0.1812881901011706,1950,0.1812881901011706,0.18460556965431282
EEU,4,0.23023756799034306,1950,0.23023756799034306,0.14535772722646925
EEU,5,0.346934726848241,1950,0.346934726848241,0.09646428280402519
FSU,1,0.05276029167564954,1950,0.05276029167564954,0.4475245840026762
FSU,2,0.09865431888482125,1950,0.09865431888482125,0.23933597485550875
FSU,3,0.14883213216742802,1950,0.14883213216742802,0.15864536266565907
FSU,4,0.22550030413388572,1950,0.22550030413388572,0.10470729817723928
FSU,5,0.47425295313821547,1950,0.47425295313821547,0.04978678029891701
MDE,1,0.053043142037181946,1950,0.053043142037181946,0.4466830888582818
MDE,2,0.09898751872199335,1950,0.09898751872199335,0.23935820226447113
MDE,3,0.14912876130715927,1950,0.14912876130715927,0.15887930886192875
MDE,4,0.22563145683727442,1950,0.22563145683727442,0.10500962436724752
MDE,5,0.473209121096391,1950,0.473209121096391,0.05006977564807068
CAM,1,0.02851762174535598,1950,0.02851762174535598,0.5348272597967273
CAM,2,0.06577657258440701,1950,0.06577657258440701,0.23187589280995677
CAM,3,0.11523028812449287,1950,0.11523028812449287,0.1323610462338712
CAM,4,0.20348969178366555,1950,0.20348969178366555,0.0749522069658597
CAM,5,0.5869858257620786,1950,0.5869858257620786,0.025983594193585105
LAM,1,0.030849044942402024,1950,0.030849044942402024,0.5246939674928549
LAM,2,0.06939098017365368,1950,0.06939098017365368,0.233262417445141
LAM,3,0.11937593733901097,1950,0.11937593733901097,0.13559104242446662
LAM,4,0.206913554171379,1950,0.206913554171379,0.07822739234756838
LAM,5,0.5734704833735543,1950,0.5734704833735543,0.028225180289969117
SAS,1,0.0776641820895986,1950,0.0776641820895986,0.3829306545391052
SAS,2,0.124846752362719,1950,0.124846752362719,0.23821201207869808
SAS,3,0.16970436538154587,1950,0.16970436538154587,0.17524591082232852
SAS,4,0.2312328289887413,1950,0.2312328289887413,0.12861493850971428
SAS,5,0.3965518711773952,1950,0.3965518711773952,0.07499648405015401
SEA,1,0.06035439231144396,1950,0.06035439231144396,0.4259162868889413
SEA,2,0.10728608823903141,1950,0.10728608823903141,0.2396016025251696
SEA,3,0.1562535879719697,1950,0.1562535879719697,0.16451410175195502
SEA,4,0.22839113301233127,1950,0.22839113301233127,0.11255217455986247
SEA,5,0.44771479846522366,1950,0.44771479846522366,0.05741583427407167
CHI,1,0.07629505580158251,1950,0.07629505580158251,0.3860658394812719
CHI,2,0.1235518547914433,1950,0.1235518547914433,0.2384012349796659
CHI,3,0.16878687592439892,1950,0.16878687592439892,0.174509508544382
CHI,4,0.23115488952066576,1950,0.23115488952066576,0.12742501284479685
CHI,5,0.4002113239619095,1950,0.4002113239619095,0.07359840414988315
MAF,1,0.06575310828410044,1950,0.06575310828410044,0.4116689808123717
MAF,2,0.11305557156469853,1950,0.11305557156469853,0.23942663504266654
MAF,3,0.16091387373278168,1950,0.16091387373278168,0.16821741000102897
MAF,4,0.22975871981622675,1950,0.22975871981622675,0.1178127867974368
MAF,5,0.4305187266021926,1950,0.4305187266021926,0.06287418734649598
SSA,1,0.04552413720074824,1950,0.04552413720074824,0.4701665518120952
SSA,2,0.08978938998713715,1950,0.08978938998713715,0.23837924074284017
SSA,3,0.14063312138867737,1950,0.14063312138867737,0.15219691066047686
SSA,4,0.22139987399169847,1950,0.22139987399169847,0.09667542363957751
SSA,5,0.5026534774317388,1950,0.5026534774317388,0.042581873145010156
SIS,1,0.05428094543877621,1950,0.05428094543877621,0.44303582258416097
SIS,2,0.10043458518008286,1950,0.10043458518008286,0.23944344739408754
SIS,3,0.15040746306223418,1950,0.15040746306223418,0.15988836473602147
SIS,4,0.22618243202175986,1950,0.22618243202175986,0.10632303799262625
SIS,5,0.4686945742971469,1950,0.4686945742971469,0.05130932729310361
USA,1,0.0682124288774193,1951,0.0682124288774193,0.40544894536122617
USA,2,0.11559148790907085,1951,0.11559148790907085,0.23926205855774774
USA,3,0.16288727291401178,1951,0.16288727291401178,0.16979016748274284
USA,4,0.23022284160176854,1951,0.23022284160176854,0.12012994521506612
USA,5,0.42308596869772946,1951,0.42308596869772946,0.06536888338321706
CAN,1,0.06314913904656833,1951,0.06314913904656833,0.41843511519133836
CAN,2,0.11030851819214917,1951,0.11030851819214917,0.23954466712313505
CAN,3,0.15872461667940224,1951,0.15872461667940224,0.1664758612998036
CAN,4,0.2291622445453858,1951,0.2291622445453858,0.11530615491921228
CAN,5,0.43865548153649453,1951,0.43865548153649453,0.06023820146651079
WEU,1,0.07697945017368481,1951,0.07697945017368481,0.38449357526630895
WEU,2,0.12420100148134666,1951,0.12420100148134666,0.23830809467152322
WEU,3,0.1692482982319549,1951,0.1692482982319549,0.17487977325922968
WEU,4,0.23119650239220504,1951,0.23119650239220504,0.1280214177682676
WEU,5,0.39837474772080866,1951,0.39837474772080866,0.07429713903467063
JPK,1,0.07104820501364312,1951,0.07104820501364313,0.3984703468616409
JPK,2,0.11844791807264672,1951,0.11844791807264675,0.23901308994152037
JPK,3,0.16505561242114195,1951,0.16505561242114197,0.17152160099499317
JPK,4,0.23064791095167742,1951,0.23064791095167747,0.12274380799232402
JPK,5,0.4148003535408907,1951,0.4148003535408908,0.06825115420952145
ANZ,1,0.0782762844076612,1951,0.0782762844076612,0.3815419734806879
ANZ,2,0.1254208906810597,1951,0.1254208906810597,0.23812371182709827
ANZ,3,0.1701073915402797,1951,0.1701073915402797,0.17556960787657933
ANZ,4,0.23126089305860398,1951,0.23126089305860398,0.1291428379205747
ANZ,5,0.39493454031239533,1951,0.39493454031239533,0.07562186889505976
EEU,1,0.0985809759707225,1951,0.0985809759707225,0.3394730418359612
EEU,2,0.14294405263713542,1951,0.14294405263713542,0.23411665726934167
EEU,3,0.18128449821548942,1951,0.18128449821548942,0.18460256728713265
EEU,4,0.2302386009726147,1951,0.2302386009726147,0.14535175091651753
EEU,5,0.34695187220403795,1951,0.34695187220403795,0.0964559826910468
FSU,1,0.05273567882357501,1951,0.05273567882357501,0.4475979524669468
FSU,2,0.09862527976652084,1951,0.09862527976652084,0.23933399143978296
FSU,3,0.1488062412112517,1951,0.1488062412112517,0.15862494523920478
FSU,4,0.22548879743106842,1951,0.22548879743106842,0.10468095148098222
FSU,5,0.47434400276758404,1951,0.47434400276758404,0.04976215937308312
MDE,1,0.053063732240909434,1951,0.05306373224090944,0.4466219503146981
MDE,2,0.0990117370700974,1951,0.09901173707009742,0.23935977981714834
MDE,3,0.1491502894236461,1951,0.14915028942364614,0.1588962896149407
MDE,4,0.22564092673116526,1951,0.2256409267311653,0.10503160010793627
MDE,5,0.4731333145341817,1951,0.4731333145341818,0.05009038014527663
CAM,1,0.028519064156622122,1951,0.028519064156622122,0.5348208288646891
CAM,2,0.06577884668682545,1951,0.06577884668682545,0.2318768160121111
CAM,3,0.11523293521876787,1951,0.11523293521876787,0.13236310870440895
CAM,4,0.20349193817127115,1951,0.20349193817127115,0.07495426928339727
CAM,5,0.5869772157665134,1951,0.5869772157665134,0.025984977135393668
LAM,1,0.03080865629199488,1951,0.03080865629199488,0.5248652424041879
LAM,2,0.0693293810973343,1951,0.0693293810973343,0.23324011547345178
LAM,3,0.119306303415388,1951,0.119306303415388,0.13553678548353681
LAM,4,0.20685760659545185,1951,0.20685760659545185,0.07817161340587962
LAM,5,0.573698052599831,1951,0.573698052599831,0.028186243232944105
SAS,1,0.07767188554588546,1951,0.07767188554588546,0.3829131282442706
SAS,2,0.12485399626112693,1951,0.12485399626112693,0.23821091484170567
SAS,3,0.1697094648070832,1951,0.1697094648070832,0.17525000567773055
SAS,4,0.23123320787460636,1951,0.23123320787460636,0.12862159784218483
SAS,5,0.39653144551129804,1951,0.39653144551129804,0.07500435339410817
SEA,1,0.060288786932617904,1951,0.060288786932617904,0.4260947539551106
SEA,2,0.10721418690293842,1951,0.10721418690293842,0.23960202074341208
SEA,3,0.1561940051930995,1951,0.1561940051930995,0.16446684879197154
SEA,4,0.22837130189405477,1951,0.22837130189405477,0.11248670748579147
SEA,5,0.44793171907728946,1951,0.44793171907728946,0.05734966902371428
CHI,1,0.07629207733449446,1951,0.07629207733449446,0.38607270422895507
CHI,2,0.12354902155428289,1951,0.12354902155428289,0.23840163392011743
CHI,3,0.16878485552335684,1951,0.16878485552335684,0.17450788766825642
CHI,4,0.23115469668033747,1951,0.23115469668033747,0.12742241031989504
CHI,5,0.4002193489075283,1951,0.4002193489075283,0.07359536386277599
MAF,1,0.06575989018503905,1951,0.06575989018503905,0.41165160536212203
MAF,2,0.1130626417667995,1951,0.1130626417667995,0.23942625026348224
MAF,3,0.16091943902936864,1951,0.16091943902936864,0.1682218414778822
MAF,4,0.2297601285296445,1951,0.2297601285296445,0.1178192427743854
MAF,5,0.4304979004891484,1951,0.4304979004891484,0.06288106012212838
SSA,1,0.045514350102225126,1951,0.045514350102225126,0.47019874675118195
SSA,2,0.08977693062976574,1951,0.08977693062976574,0.238377389682838
SSA,3,0.14062117475985897,1951,0.14062117475985897,0.15218753799921853
SSA,4,0.22139325412180652,1951,0.22139325412180652,0.09666414842742437
SSA,5,0.5026942903863437,1951,0.5026942903863437,0.04257217713933709
SIS,1,0.05431029790501926,1951,0.05431029790501926,0.44295002032895714
SIS,2,0.10046868339673462,1951,0.10046868339673462,0.23944523554771574
SIS,3,0.1504374074246559,1951,0.1504374074246559,0.15991200574995568
SIS,4,0.2261950522462869,1951,0.2261950522462869,0.10635399546629519
SIS,5,0.46858855902730334,1951,0.46858855902730334,0.051338742907076136
USA,1,0.06821242887741924,1952,0.06821242887741925,0.40544894536122633
USA,2,0.1155914879090708,1952,0.11559148790907081,0.2392620585577478
USA,3,0.1628872729140117,1952,0.16288727291401173,0.16979016748274287
USA,4,0.23022284160176845,1952,0.23022284160176848,0.12012994521506613
USA,5,0.42308596869772974,1952,0.4230859686977298,0.065368883383217
CAN,1,0.06314913904656834,1952,0.06314913904656834,0.4184351151913383
CAN,2,0.11030851819214915,1952,0.11030851819214915,0.2395446671231351
CAN,3,0.15872461667940224,1952,0.15872461667940224,0.1664758612998036
CAN,4,0.2291622445453858,1952,0.2291622445453858,0.11530615491921228
CAN,5,0.4386554815364945,1952,0.4386554815364945,0.0602382014665108
WEU,1,0.07698029912982858,1952,0.07698029912982858,0.3844916312597655
WEU,2,0.12420180440132846,1952,0.12420180440132846,0.23830797732738832
WEU,3,0.1692488671227707,1952,0.1692488671227707,0.17488022986778592
WEU,4,0.23119655069626524,1952,0.23119655069626524,0.1280221555994461
WEU,5,0.39837247864980707,1952,0.39837247864980707,0.07429800594561436
JPK,1,0.07105170941016002,1952,0.07105170941016002,0.3984618462701069
JPK,2,0.11845140437726094,1952,0.11845140437726094,0.23901274502452766
JPK,3,0.16505822371976978,1952,0.16505822371976978,0.17152368827308848
JPK,4,0.23064836719360887,1952,0.23064836719360887,0.12274700079907604
JPK,5,0.4147902952992004,1952,0.4147902952992004,0.06825471963320079
ANZ,1,0.07827653428513598,1952,0.07827653428513598,0.38154140819931787
ANZ,2,0.12542112446316372,1952,0.12542112446316372,0.2381236753214133
ANZ,3,0.1701075551751512,1952,0.1701075551751512,0.17556973932969475
ANZ,4,0.231260903675611,1952,0.231260903675611,0.12914305291310954
ANZ,5,0.39493388240093813,1952,0.39493388240093813,0.07562212423646439
EEU,1,0.09857133327658808,1952,0.09857133327658808,0.33949138057473593
EEU,2,0.14293637521268895,1952,0.14293637521268895,0.23411897754764507
EEU,3,0.18128008360594064,1952,0.18128008360594064,0.1845989771932379
EEU,4,0.23023983543159154,1952,0.23023983543159154,0.14534460536089158
EEU,5,0.34697237247319085,1952,0.34697237247319085,0.0964460593234896
FSU,1,0.05271637561185149,1952,0.05271637561185149,0.44765550959173767
FSU,2,0.09860250009915761,1952,0.09860250009915761,0.23933243036049998
FSU,3,0.14878592672692134,1952,0.14878592672692134,0.15860892563895201
FSU,4,0.2254797624357694,1952,0.2254797624357694,0.10466028406906462
FSU,5,0.4744154351263002,1952,0.4744154351263002,0.049742850339745584
MDE,1,0.053073499283954384,1952,0.053073499283954384,0.4465929546124302
MDE,2,0.09902322338226982,1952,0.09902322338226982,0.2393605262206178
MDE,3,0.1491604982879225,1952,0.1491604982879225,0.15890434216095037
MDE,4,0.22564541515255215,1952,0.22564541515255215,0.10504202286059082
MDE,5,0.47309736389330115,1952,0.47309736389330115,0.05010015414541079
CAM,1,0.028521081099001155,1952,0.028521081099001155,0.5348118367591436
CAM,2,0.06578202651267648,1952,0.06578202651267648,0.23187810679523382
CAM,3,0.11523663650775783,1952,0.11523663650775783,0.13236599254514364
CAM,4,0.2034950790452393,1952,0.2034950790452393,0.07495715297136148
CAM,5,0.5869651768353252,1952,0.5869651768353252,0.0259869109291175
LAM,1,0.03076850865870194,1952,0.03076850865870194,0.5250356385728774
LAM,2,0.06926811507873074,1952,0.06926811507873074,0.23321788925821443
LAM,3,0.11923701138548105,1952,0.11923701138548105,0.13548279518119274
LAM,4,0.20680188051922332,1952,0.20680188051922332,0.07811613487748253
LAM,5,0.573924484357863,1952,0.573924484357863,0.028147542110232942
SAS,1,0.07767716213533618,1952,0.07767716213533618,0.3829011240945737
SAS,2,0.12485895780113959,1952,0.12485895780113959,0.23821016306629159
SAS,3,0.16971295732715108,1952,0.16971295732715108,0.17525281019505504
SAS,4,0.23123346701764755,1952,0.23123346701764755,0.12862615901454588
SAS,5,0.3965174557187255,1952,0.3965174557187255,0.07500974362953394
SEA,1,0.06022792119078514,1952,0.06022792119078514,0.426260447483584
SEA,2,0.10714744035869442,1952,0.10714744035869442,0.2396023698918619
SEA,3,0.1561386607324889,1952,0.1561386607324889,0.16442295916560395
SEA,4,0.22835283015619678,1952,0.22835283015619678,0.11242593586525526
SEA,5,0.4481331475618348,1952,0.4481331475618348,0.057288287593694906
CHI,1,0.07628735230674104,1952,0.07628735230674104,0.3860835948341443
CHI,2,0.12354452677300683,1952,0.12354452677300683,0.23840226668301634
CHI,3,0.1687816501478422,1952,0.1687816501478422,0.17450531614761544
CHI,4,0.23115439054909281,1952,0.23115439054909281,0.12741828156065288
CHI,5,0.40023208022331713,1952,0.40023208022331713,0.0735905407745711
MAF,1,0.06577170613721083,1952,0.06577170613721083,0.411621335508344
MAF,2,0.11307495898770673,1952,0.11307495898770673,0.2394255789365742
MAF,3,0.16092913365905462,1952,0.16092913365905462,0.16822956107014256
MAF,4,0.22976258115256668,1952,0.22976258115256668,0.1178304899912491
MAF,5,0.43046162006346117,1952,0.43046162006346117,0.06289303449369028
SSA,1,0.045505417208818066,1952,0.045505417208818066,0.47022813576220357
SSA,2,0.08976555753994064,1952,0.08976555753994064,0.2383756987379367
SSA,3,0.1406102686420234,1952,0.1406102686420234,0.15217898171904023
SSA,4,0.22138720923356636,1952,0.22138720923356636,0.09665385626957665
SSA,5,0.5027315473756515,1952,0.5027315473756515,0.04256332751124296
SIS,1,0.05432421621734439,1952,0.05432421621734439,0.4429093457171428
SIS,2,0.10048484856555169,1952,0.10048484856555169,0.23944607973135873
SIS,3,0.15045160035293006,1952,0.15045160035293006,0.15992321121861708
SIS,4,0.22620102939165493,1952,0.22620102939165493,0.1063686718231542
SIS,5,0.46853830547251896,1952,0.46853830547251896,0.05135269150972722
USA,1,0.06821242887741925,1953,0.06821242887741925,0.4054489453612262
USA,2,0.11559148790907078,1953,0.11559148790907078,0.2392620585577478
USA,3,0.16288727291401173,1953,0.16288727291401173,0.16979016748274284
USA,4,0.23022284160176848,1953,0.23022284160176848,0.1201299452150661
USA,5,0.4230859686977297,1953,0.4230859686977297,0.065368883383217
CAN,1,0.06314913904656833,1953,0.06314913904656833,0.41843511519133836
CAN,2,0.11030851819214915,1953,0.11030851819214915,0.2395446671231351
CAN,3,0.15872461667940224,1953,0.15872461667940224,0.1664758612998036
CAN,4,0.22916224454538583,1953,0.22916224454538583,0.11530615491921226
CAN,5,0.4386554815364945,1953,0.4386554815364945,0.0602382014665108
WEU,1,0.07697805613322928,1953,0.07697805613322928,0.38449676748352646
WEU,2,0.12419968302282872,1953,0.12419968302282872,0.23830828734846157
WEU,3,0.1692473640581163,1953,0.1692473640581163,0.174879023464311
WEU,4,0.23119642305613966,1953,0.23119642305613966,0.12802020619153393
WEU,5,0.398378473729686,1953,0.398378473729686,0.07429571551216715
JPK,1,0.07106389648625062,1953,0.07106389648625062,0.3984322864845359
JPK,2,0.11846352770985845,1953,0.11846352770985845,0.23901154482639073
JPK,3,0.16506730362512984,1953,0.16506730362512984,0.17153094611528302
JPK,4,0.23064995255596302,1953,0.23064995255596302,0.12275810356669073
JPK,5,0.4147553196227981,1953,0.4147553196227981,0.06826711900709966
ANZ,1,0.07827527870054618,1953,0.07827527870054618,0.381544248639019
ANZ,2,0.1254199497496928,1953,0.1254199497496928,0.23812385875144915
ANZ,3,0.17010673293515163,1953,0.17010673293515163,0.17556907879828054
ANZ,4,0.23126085032037552,1953,0.23126085032037552,0.12914197261419635
ANZ,5,0.3949371882942339,1953,0.3949371882942339,0.07562084119705507
EEU,1,0.09856023614897517,1953,0.09856023614897515,0.3395124871251498
EEU,2,0.14292753908147202,1953,0.142927539081472,0.23412164738599672
EEU,3,0.18127500219365014,1953,0.18127500219365011,0.18459484485805627
EEU,4,0.23024125535140444,1953,0.23024125535140438,0.14533638142090916
EEU,5,0.3469959672244984,1953,0.3469959672244983,0.09643463920988811
FSU,1,0.0527023693211568,1953,0.0527023693211568,0.4476972815888174
FSU,2,0.09858596853256862,1953,0.09858596853256862,0.2393312946007838
FSU,3,0.14877118176828635,1953,0.14877118176828635,0.158597298199331
FSU,4,0.2254732008660443,1953,0.2254732008660443,0.10464528550508147
