time,globalincome,globalypc
1950,5159.484646999531,2047.089607601782
1951,5359.052162576998,2086.5347221856073
1952,5566.657462979298,2128.372178378634
1953,5782.640646607725,2172.0712907419133
1954,6007.357035673677,2217.1996323709277
1955,6241.177899317487,2263.4211776673983
1956,6484.491213104989,2310.5000969839375
1957,6737.70245682819,2358.298737959116
1958,7001.235452642854,2406.768550467239
1959,7275.533245688332,2455.932971219864
1960,7561.059029453983,2505.8336342396133
1961,7847.412957025107,2552.930979296933
1962,8228.262570928391,2627.0754192569966
1963,8683.278575460963,2720.040029352213
1964,9126.15641223452,2803.7724167511624
1965,9711.918993836156,2925.1226156752714
1966,10229.480907331405,3019.2429133295664
1967,10832.538160769458,3132.1521649008105
1968,11352.074113071987,3215.1056597970855
1969,12069.0874231961,3348.3905328721867
1970,12809.037170502792,3481.958943386175
1971,13189.117534673615,3513.842919301688
1972,13749.276941774417,3591.0104235135377
1973,14545.571527465447,3725.478547293857
1974,15482.724214606746,3890.3726889997947
1975,15727.388388236146,3878.705408303148
1976,15869.313181052792,3843.072227900696
1977,16671.704487850948,3966.1619916253176
1978,17335.424981668824,4052.416686681363
1979,18046.46992465965,4145.7363460224915
1980,18795.93393957511,4243.141982291574
1981,19114.944083093294,4240.349956339214
1982,19532.951120620382,4257.982192466421
1983,19703.93047019483,4220.478610122402
1984,20269.994046488704,4265.39841655073
1985,21195.812335866834,4380.899142578677
1986,22018.057534070387,4468.815400744208
1987,22778.45870848191,4539.1759721510925
1988,23659.770462901473,4629.818816414523
1989,24802.677305213107,4768.357281729535
1990,25782.04368404155,4873.41153307785
1991,26591.815079484353,4946.021328915294
1992,27083.746724157594,4960.405176030944
1993,27588.20875670686,4978.4242417631585
1994,27968.58240288614,4974.915875431654
1995,28806.94831330987,5052.337347935278
1996,29702.092437124174,5137.8690594306445
1997,30712.641001782253,5241.327575200467
1998,31786.766875526315,5353.183916480922
1999,32465.73946532173,5396.775675459544
2000,33515.5970416368,5500.336805995109
2001,34949.38431585346,5663.656817782739
